,Topic,Question,CorrectArticleFile,ChosenFileName,Match
0,Isaac_Newton,What Eves?,S08_set4_a1,S09_set4_a1,1
1,Isaac_Newton,What are a rumors that he remained a virgin?,S08_set4_a1,S10_set6_a3,0
2,Isaac_Newton,"Who was, by later reports of his contemporaries, thoroughly unhappy with the work?",S08_set4_a1,S09_set4_a1,1
3,Isaac_Newton,Is it true that newton saw god as the master creator?,S08_set4_a1,S09_set4_a1,1
4,Isaac_Newton,Is it true that he acquired a circle of admirers?,S08_set4_a1,S09_set4_a1,1
5,Isaac_Newton,Is it true that this contained the beginnings of the laws of motion?,S08_set4_a1,S09_set4_a1,1
6,Isaac_Newton,"What did Isaac Newton place at 3 April, AD 33, which agrees with one traditionally accepted date?",S08_set4_a1,S10_set4_a1,1
7,Isaac_Newton,Was Newton outraged?,S08_set4_a1,S10_set4_a1,1
8,Isaac_Newton,Was Newton born three months after the death of his father?,S08_set4_a1,S10_set4_a1,0
9,Isaac_Newton,What died in London?,S08_set4_a1,S09_set3_a1,0
10,Isaac_Newton,What was against William?,S08_set4_a1,S08_set3_a5,0
11,Isaac_Newton,What quartered on March?,S08_set4_a1,S08_set3_a5,0
12,Isaac_Newton,Were the two in a dispute over optical discoveries at the time ?,S08_set4_a1,S09_set4_a1,1
13,Isaac_Newton,"Are Various trees claimed to be "" the "" apple tree which Newton describes ?",S08_set4_a1,S09_set4_a1,1
14,Isaac_Newton,"Was Newton outraged , and went about the work to uncover anything about Chaloner ?",S08_set4_a1,S09_set4_a1,1
15,Isaac_Newton,Was this study cast into doubt when it was later found that Newton himself wrote the study 's concluding remarks on Leibniz ?,S08_set4_a1,S09_set4_a1,1
16,Isaac_Newton,Did Newton not entertain `` a passion '' for Storer while he lodged at the Clarke house ?,S08_set4_a1,S09_set4_a1,1
17,Isaac_Newton,Does # Newton not  Third Law states that for every action there is an equal and opposite reaction ?,S08_set4_a1,S10_set4_a1,1
18,Isaac_Newton,What happened at the time of newton 's birth?,S08_set4_a1,S10_set4_a1,1
19,Isaac_Newton,What happened from school?,S08_set4_a1,S08_set4_a8,0
20,Isaac_Newton,What happened on those of aristotle?,S08_set4_a1,S10_set4_a4,0
21,John_Adams,Did John Adams represent the Continental Congress in Europe?,S08_set3_a1,S08_set3_a1,1
22,John_Adams,Did John Adams represent the Continental Congress in Europe?,S08_set3_a1,S08_set3_a1,1
23,John_Adams,Was Adams raised Congregationalist?,S08_set3_a1,S08_set3_a1,1
24,John_Adams,Was Adams raised Congregationalist?,S08_set3_a1,S08_set3_a1,1
25,John_Adams,Was Adams an opponent of the Stamp Act?,S08_set3_a1,S08_set3_a1,1
26,John_Adams,Was Adams an opponent of the Stamp Act?,S08_set3_a1,S08_set3_a1,1
27,John_Adams,When did Adams graduate from college?,S08_set3_a1,S08_set3_a1,1
28,John_Adams,When did Adams graduate from college?,S08_set3_a1,S08_set3_a1,1
29,John_Adams,Who was on the committee with Adams to draft  a Declaration of Independence?,S08_set3_a1,S08_set3_a1,1
