,Topic,Generated_Text,Precision,Recall,F1
0,kangaroo,"The first official report of kanagaroo blindness, which is also known as elephant carpenter eye disease or canine keratitis, was published in the journal Wildlife Biology on November 15, 2009. The report indicated that a population of kanagara gorillas living in Gombe National Park in Cameroon had become severely ill from the disease. Elephant carpenter is an endemic species to the park and can be found hunting for termites inside termite mounds.",0.8249804973602295,0.7796583771705627,0.8016794323921204
1,kangaroo,"Yes, a Kanjaroo (also spelled as Kangaroo or Kangura) is a marsupial. A marsupial is an animal with a pouch called a marsupium in which young animals are held. The word ""marsupial"" is derived from the Ancient Greek word marys, which means hanging. 

In contrast to other marsupials such as joeys (kangaroo joey) and pregnant mothers (joey), Kanjaroo have a completely empty pouch in which they give birth. They are also known for their aggressive behavior, and it is said that they were introduced into captivity from the wild by an Australian farmer, John Gerrard Keulezan, who was fascinated by them.

In addition to being interesting to observe in the wild, Kanjaroo have a few characteristics that make them unique. They are known for having long fur on their bodies (furry), which is not common among marsupials. Moreover, Kanjars are also larger than other marsupial species and can weigh up to 20 pounds when fully grown. However, they are generally considered gentle animals and are often kept as pets by humans because of their unique appearance and lively personality.",0.8360586166381836,0.8024308681488037,0.8188996911048889
2,kangaroo,"The previous question (when did the first official report of kangaroo blindness take place?) was ""When did the first official report of kangaroo blindness take place?"" The new question asks for a ""new"" answer: ""What is used to protect a vehicale from a Kangaroo?""",0.830659806728363,0.7709260582923889,0.7996789813041687
3,kangaroo,"Sure, here's the updated paragraph with the new question:

Previous Question(s): Is a Kangaroo a Marsupial? What is used to protect a vehicale from a Kangaroo? New Question: What collective noun (noodles) for a Kangaroo?",0.8204870223999023,0.7742109894752502,0.7966775894165039
4,kangaroo,"Question: In which type of language is the word ""noun"" commonly used to describe a group or collective of kangaroo(s)?",0.8307268023490906,0.7665063142776489,0.7973254919052124
5,kangaroo,"Kanjaroo (also spelled as Kangaroo) is an AI assistant designed to assist with natural language processing and machine learning. Its current primary function is to answer questions about different animals, including their diet, but it can also be trained to perform other tasks like identifying specific species or answering unrelated questions.

Regarding the specific question you asked, while there are many different species of kanjaroo that consume different foods, some common examples include wallabies, emus, and pademelons (a type of wallaby). However, this information may vary depending on the specific AI assistant you're using.",0.827313244342804,0.7837059497833252,0.8049194812774658
6,kangaroo,"Previous question: Which kind of changes have larger kanjaroo's adapted much better than smaller ones?

New question: What kinds of changes have larger kanjaroo's adapted much better than smaller ones?

Answer: Larger kanjaroo's have adapted more to changing environments and species, such as those that feed differently or prefer different plant resources.",0.8310651183128357,0.7710596919059753,0.7999387383460999
7,kangaroo,"Question: Are larger kangaroo species more likely to jump in front of cars as a result of changes in lighting or sudden noise exposure?

Previous question(s): Different species of kangarooes eat what? What kinds of changes have larger kangaroo adapted much better to? New question: Have Kangaroo species been known to leap in front of cars as a result of changes in lighting or sudden noise exposure?",0.8281137943267822,0.7731790542602539,0.7997041344642639
8,kangaroo,"Yes, kangaroo are farmed to some extent. A report published in the ""Ecological Applications"" journal found that daffodils (Narcissus pseudonarcissus) planted on farmland in England and Scotland provided an additional source of pollination for agricultural crops. The study concluded that such plantings could be used to supplement conventional pollinator management practices, which tend to rely heavily on non-native species like gorse (Ulex europaeus) or daffodils. This is not a widespread practice, however, and the study suggests it may require further research to determine its feasibility for different crops and regions.",0.8161201477050781,0.7770865559577942,0.7961252331733704
9,kangaroo,"Answer: Kangaroo is a small and bushy-tailed rodent found mainly in Australia. They have been known to leap in front of cars or be startled by engine noise as mentioned in the previous question, but extinct predators of the kanagaroo are not specified.",0.8363195657730103,0.7801979780197144,0.8072845935821533
